iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,Gender Equality,Children's Rights,Cultural and Linguistic Diversity,Fairness and Non-discrimination,Transparency and Explainability,Human Oversight and Determination,Environmental Impact,Labour Protections,Reskilling and upskilling initiatives,AI Literacy,Safety and Security,Access to Redress and Remedy,Impact Assessments,AI-facilitated Misinformation and Violence,Public Sector Skills Development,Public Disclosure of Government Algorithmic Systems,Public Procurement,Civil Society Engagement in Inclusion and Diversity,Civil Society Engagement in Ethics and Sustainability,Civil Society Engagement in Labour and Skills,Civil Society Engagement in Trust and Safety,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Egalitarian Democracy,Device affordability,Gender gap in mobile internet,Low-Carbon Energy Share,Rule of Law,Skills and Literacy,Labour Rights Compliance,Cybersecurity,Data Protection and Privacy,Data Sharing and Access,Consumer Protection,Global Peace,Civil Society Accountability,Public Service Delivery,Access to Public Information,URAI Penalty
LAO,Lao People's Democratic Republic,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,9775.83,14.45,14.45,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,10.26,0,0,11.84,43.33,78.46,76.72,35.21,53.6,33.68,30.43,58.4,93.75,59.32,75.94,11.29,29.93,29.9,1
LBN,Lebanon,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12574.83,14.49,14.49,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0,46.15,10.26,4.4,0,28.74,26.31,90.91,43.82,26.96,75.2,23.16,29.01,33.4,37.5,43.43,34.96,69.98,32.84,28.25,1
LBR,Liberia,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,1871.04,13.01,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,27.3,45,54.39,32.19,29.07,25.71,17.42,25.2,87.5,76.48,68.77,78.34,62.41,15.44,1
LBY,Libya,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,14303.81,29.29,29.29,59.47,37.12,0,40.15,39.39,40.15,37.88,0,67.42,68.94,46.02,37.12,0,0,67.42,0,0,0,0,10.26,4.4,0,12.92,49.76,100,0.03,12.21,68.8,28.93,66.5,0,12.5,0,43.97,57.97,10.7,17.88,1
LCA,Saint Lucia,Caribbean,,Developing,Latin America & Caribbean ,Upper middle income,27567.33,16.46,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,62.26,53.21,100,2.5,65.19,65.33,58.19,22.49,30.2,12.5,68.86,64.97,89.64,63.43,30.06,1
LKA,Sri Lanka,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,15632.59,31.81,31.81,20.45,9.09,22.73,11.36,11.36,59.09,10.61,0,21.97,31.06,11.93,67.42,67.42,9.09,22.73,0,10.23,7.69,23.08,51.28,4.4,30,68.96,29.34,44.26,55.24,46.88,69.33,48.56,86.37,33.4,37.5,59.96,62.51,78.28,66.97,39.22,1
LSO,Lesotho,Africa,South Africa,Developing,Sub-Saharan Africa ,Lower middle income,3001.16,22.8,22.8,0,39.39,10.61,22.73,12.12,11.36,10.61,0,12.12,6.44,12.5,9.85,12.12,0,12.12,0,0,0,0,0,0,8.75,57.25,25.17,100,100,43.29,44.8,35.78,27.11,41.8,87.5,75.85,53.68,75.75,31.21,36.07,1
LTU,Lithuania,Europe,North Europe,Developed,Europe & Central Asia,High income,55285.9,57.69,57.69,63.41,71.21,57.58,64.77,73.86,64.77,0,64.09,74.62,40.72,83.64,73.86,73.18,79.55,9.09,0,0,30.77,0,10.26,8.79,15,80.92,87.34,94.87,84.3,86.16,87.47,72.53,92.37,100,87.5,99.58,86.29,82.75,88.77,78.14,1
LVA,Latvia,Europe,North Europe,Developed,Europe & Central Asia,High income,43394.27,64.82,64.82,72.5,80.3,71.97,73.86,73.86,73.86,0,73.18,65.91,88.64,74.55,64.77,82.27,97.73,27.65,9.09,62.5,0,7.69,20.51,4.4,30,86.23,81.18,100,73.46,79.35,85.33,78.76,81.76,91.8,87.5,84.75,86.29,88.38,94.73,78.41,1
MAR,Morocco,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,10415.12,35.62,35.62,9.09,9.09,27.27,18.18,46.21,9.09,18.18,0,71.21,71.21,70.45,68.18,0,45.45,46.21,0,0,38.46,53.85,20.51,0,0,22.58,34.78,84.85,24.41,44.23,64,40.53,97.37,66.8,87.5,93.22,65.41,56.32,52.84,28.92,1
