ranking,iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,urai_penalty,DIMENSIONS SCORES,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,PILLAR SCORES,__EMPTY_4,__EMPTY_5
,,,,,,,,,,,,Inclusion and Diversity (0-100),Ethics and Sustainability (0-100),Labour and Skills (0-100),Trust and Safety (0-100),AI Use in Public Service (0-100),AI Policy (0-100),CSO Engagement (0-100),Enabling Conditions (0-100)
87,PAN,Panama,South and Central America,Central America,Developing,Latin America & Caribbean ,High income,41369.42,25.56,25.56,1,25.18,25.45,25.39,27.84,23.92,7.63,13.72,65.34
88,JAM,Jamaica,Caribbean,,Developing,Latin America & Caribbean ,Upper middle income,12890.27,24.37,24.37,1,22.14,31.77,26.66,19.57,21.72,10.73,7.69,57.21
89,KHM,Cambodia,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,7966.87,24.09,24.09,1,27.67,16.3,28.23,21.95,26.31,15.51,28.57,39.76
90,KWT,Kuwait,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,52443.6,24.03,25.03,0.96,20.71,20.67,28.11,38.62,17.02,11.08,18.82,54.99
91,BTN,Bhutan,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,16215.15,23.35,23.35,1,31.96,25.82,12.1,27.02,19.86,7.93,0,61.99
92,BWA,Botswana,Africa,South Africa,Developing,Sub-Saharan Africa ,Upper middle income,20538.13,23.05,23.05,1,18.7,28.34,19.83,32.39,16.01,10.23,4.1,55.02
93,TZA,United Republic of Tanzania,Africa,East Africa,Developing,Sub-Saharan Africa ,Lower middle income,4220.8,22.96,22.96,1,28.9,19.9,18.11,29.29,18.6,11.47,12.16,49.53
94,LSO,Lesotho,Africa,South Africa,Developing,Sub-Saharan Africa ,Lower middle income,3001.16,22.8,22.8,1,28.24,30.02,15.8,22.33,17.6,9.94,1.75,55.52
95,ARM,Armenia,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Upper middle income,22823.18,22.51,22.51,1,23.43,18.73,20.68,31.07,18.63,5.74,5.13,61.82
96,ECU,Ecuador,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,15840.27,21.75,21.75,1,18.72,22.16,19.98,23.25,24.63,6.25,11.85,56.04
97,MNG,Mongolia,Asia and Oceania,East Asia,Developing,East Asia & Pacific,Upper middle income,19144.73,20.68,20.68,1,19.17,14.38,22.65,22.74,24.45,6.82,2.05,54.6
98,PSE,State of Palestine,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,4371.11,20.52,20.52,1,28.71,10.3,27.09,11.26,25.22,12.12,0.5,43.98
99,BRB,Barbados,Caribbean,,Developing,Latin America & Caribbean ,High income,24822.53,20.18,20.18,1,24.24,11.94,27.03,15.4,22.27,2.27,9.54,59.53
100,MWI,Malawi,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1857.62,19.91,19.91,1,6.99,36.44,14.72,28.98,12.43,9.77,4.1,45.46
101,BGD,Bangladesh,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,9646.77,19.58,20.4,0.96,19.21,11.71,17.38,32.51,21.18,12.9,5.85,40.24
102,AGO,Angola,Africa,South Africa,Developing,Sub-Saharan Africa ,Lower middle income,10118.61,19.41,19.41,1,9.13,19.43,16.41,24.96,27.14,8.56,9.59,44.39
103,XKX,Kosovo,Europe,Balkans (South East Europe),Developing,Europe & Central Asia,Upper middle income,17864.42,18.59,18.59,1,22.81,9.15,16.16,25.3,19.53,0,3.08,60.94
104,TJK,Tajikistan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Lower middle income,5405.98,18.37,18.37,1,4.74,26.74,23.76,23.81,12.81,10.48,6.59,38.09
