interview_key,country,ISO3,region,subregion,developing_developed,WB_income_group,GDP_per_capita_PPP,dimension,pillar,indicator,cse_counts,cse1_name,cse1_link,cse1_drive,cse1_type,cse1_contributions,cse1_justif,cse2_name,cse2_link,cse2_drive,cse2_type,cse2_contributions,cse2_justif,cse3_name,cse3_link,cse3_drive,cse3_type,cse3_contributions,cse3_justif,cse4_name,cse4_link,cse4_drive,cse4_type,cse4_contributions,cse4_justif,cse5_name,cse5_link,cse5_drive,cse5_type,cse5_contributions,cse5_justif,cse6_name,cse6_link,cse6_drive,cse6_type,cse6_contributions,cse6_justif
00-17-59-95,Argentina,ARG,South and Central America,South America,Developing,Upper middle income,"30431,19",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,2,AI for the Public Sector,https://academiainnovacionpolitica.org/enrol/index.php?id=98,https://drive.google.com/file/d/13JmQ-DFq4hCpogbRpSzafdD3NWeb4Zc-/view?usp=sharing,Developing ethical guidelines principles or best practices.,Safety and Security;  Data Protection and Privacy,This Asuntos del Sur free and open course trains public-sector actors on the ethical and responsible use of AI with a strong focus on data protection privacy and security. The programme introduces regulatory and governance aspects of AI highlights legal and ethical obligations and promotes transparent accountable and safe use of data in public institutions. It strengthens institutional skills for assessing risks ensuring responsible data handling and integrating privacy-protective practices in AI projects.,GUIDE TO INTELLIGENCE ARTIFICIAL - Perspectives for Civil Society Organizations,https://web.archive.org/web/20260124000608/https://raci.org.ar/wp-content/uploads/2024/05/Guia-de-inteligencia-artificial-1.pdf.pdf?utm_source=perfit&utm_medium=email&utm_campaign=Gu%C3%ADa%20de%20IA,https://drive.google.com/file/d/1vQhR2SmduEAXAAWV1Wbr1XFVfmA-MRim/view?usp=sharing,Capacity building and collaboration: training courses workshops networks.,Data Protection and Privacy;  Consumer Protection;  Safety and Security,The guide addresses Data Protection and Privacy by warning that AI systems process large amounts of personal data and require strict privacy safeguards; this is detailed in Challenges and Considerations (p.13). It addresses Safety and Security by highlighting risks such as algorithmic bias discriminatory outputs and data-security vulnerabilities on page 13. It relates to Consumer Protection through its recommendations for responsible transparent and ethical AI use to avoid harm to beneficiaries outlined on pages 14–15.,,,,,,,,,,,,,,,,,,,,,,,,
91-28-37-90,Armenia,ARM,Asia and Oceania,NorthWest Asia,Developing,Upper middle income,"22823,18",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,1,Artificial Intelligence and Legal Ethics: New Challenges and Opport,https://iravaban.net/en/488204.html,No document in the folder,Knowledge generation: research technical reports.,Transparency and Explainability,LegalTech Armenia is an initiative by the Armenian Lawyers’ Association and Iravaban.net that explores how digital technologies transform the legal field in Armenia. The series provides expert analysis on tools like AI and data science and examines the ethical questions they raise including bias transparency privacy and responsibility.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-64-87-32,Armenia,ARM,Asia and Oceania,NorthWest Asia,Developing,Upper middle income,"22823,18",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,1,FEMINNO Conference on Female Innovation,https://web.archive.org/web/20251017130547/https://www.feminno.com/feminno-2024-conference,No document,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,Gender Equality,During the Conference a special panel was dedicated to the topic of gender natural artificial intelligence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93-37-85-97,Armenia,ARM,Asia and Oceania,NorthWest Asia,Developing,Upper middle income,"22823,18",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,Paper on AI Use in Armenian Media:Ethical Considerations,https://web.archive.org/web/20250306155035/https://freedomhouse.org/sites/default/files/2024-10/AI-Use-in-Armenian-Media-Eng.pdf,https://drive.google.com/file/d/15j-Pzhp4WxHN0fRV4g3TI1razl4BqMvd/view?usp=drive_link,Knowledge generation: research technical reports.,Reskilling and upskilling initiatives,This paper aims to outline the key ethical guidelines applicable to journalism with particular attention to the use of artificial intelligence. It emphasizes the need for journalists to uphold ethical standards when engaging with AI technologies. The final recommendations (p. 5 Recommendation 2) note the growing prevalence of AI and stress the importance of journalists acquiring both technical proficiency and a clear understanding of AI’s capabilities limitations and risks. To promote responsible use media organizations (including CSOs) should implement targeted AI training programs designed to strengthen journalists’ skills and professional competencies in the field of artificial intelligence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-20-99-70,Armenia,ARM,Asia and Oceania,NorthWest Asia,Developing,Upper middle income,"22823,18",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84-99-48-61,Australia,AUS,Asia and Oceania,Oceania (Pacific),Developed,High income,"72111,18",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,3,Inquiry on Adopting Artificial Intelligence,https://www.hrlc.org.au/submissions/2024-06-26-adopt-ai/,https://drive.google.com/file/d/15qs_XUkfkGXTsDmRb21outZ2bMIWpz5I/view?usp=drive_link,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Fairness and Non Discrimination;  Transparency and Explainability;  Environmental Impact;  Human Oversight and Determination,The Submission of the Human Rights Law Centre to the Senate Select Committee Inquiry on Adopting Artificial Intelligence urged a human-rights-based approach to AI governance by referencing the Ethics Guidelines for Trustworthy Artificial Intelligence as a good example to adopt into Australian policy (pp. 7 9). It recommended clear accountability frameworks transparency (p. 7) standards the importance to consider the environmental wellbeing (p. 7) and independent human oversight mechanisms in AI (pp. 5 7) to prevent discriminatory (p. 7) or opaque algorithmic decision-making in Australia’s public and private sectors.,AI and Journalism Training Program,https://www.walkleys.com/professional-development/ai-training/,,Capacity building and collaboration: training courses workshops networks.,Human Oversight and Determination;  Transparency and Explainability,The AI and Journalism Training Program by the Walkley Foundation addresses transparency and explainability and aspects of human oversight. Several sessions focus on understanding how AI tools work in journalism and on verifying AI-generated content including identifying deepfakes and AI-manipulated media as well as fact-checking and verification methods. It also discusses risks and responsible use of AI tools in newsroom workflows implying that journalists should critically evaluate AI outputs before using them.,SUPERCHARGING AUSTRALIA’S RENEWABLE ROLLOUT,https://web.archive.org/web/20251206062152/https://www.climatecouncil.org.au/resources/battery-boom-supercharging-australias-renewable-rollout/,https://drive.google.com/file/d/1t_yrjwiKKJ63bWsod6yL2rDHNk2An53a/view?usp=drive_link,Knowledge generation: research technical reports.,Environmental Impact,The Climate Council’s 2025 report links rapid data-centre expansion—fuelled by AI demand—to rising electricity use and emissions (p. 12). It recommends accelerating renewable and storage deployment to offset AI-related energy loads highlighting AI’s environmental footprint and sustainability policy needs (pp. 4 6).,,,,,,,,,,,,,,,,,,
74-92-28-30,Australia,AUS,Asia and Oceania,Oceania (Pacific),Developed,High income,"72111,18",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,1,AI For All – An Equitable Regulatory Framework for Australia – Submission to the Department of Industry Science and Resources on Safe and Responsible AI in Australia,https://web.archive.org/web/20260309180553/https://pwd.org.au/wp-content/uploads/2024/10/AI-For-All-PWDA-Submission-04102024.pdf,https://drive.google.com/file/d/1NG6wR_lGFXAMIOhDyKL_DqutZCY8Yuhw/view?usp=drive_link,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Rights of Persons with Disabilities,This initiative advances the rights of persons with disabilities by influencing the Australian Government’s AI regulatory framework to include accessibility equality and participation principles. The submission calls for mandatory accessibility requirements disability impact assessments inclusive representation in AI design and AI literacy programs for the disability community. (See pp. 12–13 “Summary of Recommendations” and pp. 28–31 “Recommendations & Conclusion” of the PWDA submission.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-79-05-11,Australia,AUS,Asia and Oceania,Oceania (Pacific),Developed,High income,"72111,18",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,5,Centre for Future Work – Submission to the House of Representatives Inquiry into the Digital Transformation of Workplaces (2024),https://web.archive.org/web/20250418065524/https://futurework.org.au/report/submission-to-the-house-of-representatives-standing-committee-on-employment-education-and-training-inquiry-into-the-digital-transformation-of-workplaces/,https://drive.google.com/file/d/1bLi1SSuzvhdXMqOAemC_CfZruRnDDFVa/view?usp=drive_link,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Labour Protections;  Reskilling and upskilling initiatives,The Australia Institute and The Centre for Future Work’s 2024 submission to the House of Representatives analyses how AI automation and algorithmic management affect job quality safety and workers’ rights highlighting risks of surveillance intensified work and unfair decision-making (pp. 2–6). It recommends stronger labour protections transparency obligations and worker consultation (pp. 7–10). The submission also calls for national policies on reskilling to ensure workers benefit from technological change (pp. 3 11–12).,VTHC OHS Liveshow – “The Health and Safety Impacts of AI and Workplace Surveillance”,https://web.archive.org/web/20251205070000/https://www.weareunion.org.au/ohs_liveshow_the_health_and_safety_impacts_of_ai_and_workplace_surveillance,,Capacity building and collaboration: training courses workshops networks.,Labour Protections,The VTHC OHS Liveshow provides education to health and safety representatives on potential risks on AI-enabled workplace surveillance and algorithmic management. It explains psychosocial risks privacy impacts and how AI affects safety and working conditions. The session offers practical guidance on identifying hazards enforcing workers’ rights and applying existing OHS laws.,MEAA 2025 AI Campaign on Protecting Creative Workers and Jobs,https://web.archive.org/web/20250809153534/https://www.meaa.org/mediaroom/government-urged-to-act-on-ai-and-stop-theft-of-nations-creative-assets-as-critical-productivity-talks-approach/,,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,Labour Protections,MEAA’s 2025 AI campaign uses public statements media releases and survey findings to raise national awareness of AI’s impacts on creative workers including job loss exploitation and unauthorised use of creative content. Key evidence includes MEAA’s July 2025 ” July 2025 release:https://web.archive.org/web/20251205073000/https://www.meaa.org/mediaroom/government-urged-to-act-on-ai-and-stop-theft-of-nations-creative-assets-as-critical-productivity-talks-approach/  August 2025 release:https://web.archive.org/web/20251205073500/https://www.meaa.org/mediaroom/productivity-commissions-shortsighted-recommendations-are-a-blueprint-for-theft-of-nations-creative-and-cultural-assets/,Centre for Future Work – Research Report on Employee Voice Union Delegates and Technology Change (2024),https://web.archive.org/web/20250402092037/https://futurework.org.au/wp-content/uploads/sites/2/2024/07/Peetz-union-delegates-CFW-report-FINAL-1-July-corrected.pdf,https://drive.google.com/file/d/1bLi1SSuzvhdXMqOAemC_CfZruRnDDFVa/view?usp=drive_link,Knowledge generation: research technical reports.,Labour Protections;  AI Literacy,The 2024 Centre for Future Work report analyses how technological change including AI affects worker voice safety and rights (pp. 3–10). It shows that strong delegate rights improve workers’ ability to respond to AI-driven management systems and identify emerging risks. The report highlights the need for consultation transparency and safeguards around AI adoption in workplaces strengthening labour protections and supporting workers’ AI literacy.,CPSU – Artificial Intelligence in the Workplace: Draft Principles (2025),https://web.archive.org/web/20251205033441/https://www.cpsu.org.au/CPSU/Content/Campaigns/artificial_intelligence.aspx,https://web.archive.org/web/20251205033441/https://www.cpsu.org.au/CPSU/Content/Campaigns/artificial_intelligence.aspx,Developing ethical guidelines principles or best practices.,Reskilling and upskilling initiatives;  Labour Protections,The CPSU’s 2025 Draft Principles set standards for the responsible use of AI in public sector workplaces. They call for transparency human oversight worker consultation protections against AI-enabled surveillance and fair processes for performance assessment (pp. 1–3). The principles require employers to provide training and support where AI changes job roles improving workers’ AI capabilities and ensuring fair reskilling pathways.,,,,,,
90-01-19-67,Australia,AUS,Asia and Oceania,Oceania (Pacific),Developed,High income,"72111,18",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,4,Digital Rights Watch – Submission to the Senate Select Committee on Adopting AI,https://www.aph.gov.au/DocumentStore.ashx?id=c3051257-2a11-4485-a4aa-7d9a81c65f80&subId=757052,https://drive.google.com/file/d/1IBnA1xvM8NKF_eTaM1SF1r-RYDyj7DhZ/view?usp=drive_link,Developing ethical guidelines principles or best practices.,Data Protection and Privacy;  Safety and Security;  Consumer Protection;  Impact Assessments;  AI-Facilitated Misinformation and Violence,Digital Rights Watch’s submission to the Senate Select Committee on Adopting AI addresses Trust and Safety risks by centring human rights privacy and accountability in AI governance. Section B “Placing human rights at the centre” (pp. 3–5) outlines risks of biased and discriminatory AI including facial recognition and automated decision-making harms. Section C “Data Governance” (pp. 5–8) discusses privacy data provenance secondary data use and overfitting risks calling for stronger Privacy Act protections. Section D “Key risks and harms” (pp. 9–11) addresses biometric surveillance online safety and AI-enabled deepfakes. Section E (pp. 12–13) calls for impact assessments enforceable oversight and access to redress.,Human Rights Digital Rights and AI: Children’s Online Rights,https://web.archive.org/web/20260303064727/https://humanrightseducationaustralia.com/2025/06/01/human-rights-digital-rights-and-ai-childrens-online-rights/,,Knowledge generation: research technical reports.,Data Protection and Privacy;  Safety and Security;  AI-Facilitated Misinformation and Violence,This webinar built civil society capacity by educating educators and community organisations about AI-driven risks to children including profiling privacy violations exposure to harmful content and algorithmic amplification of misinformation. It promoted awareness of safety-by-design approaches rights-based governance and responsible data practices strengthening CSO capability to advocate for protections for children in AI-mediated environments.,Human Rights Law Centre – “Rights-First: Principles for Digital Platform Regulation”,https://web.archive.org/web/20251204085514/https://www.hrlc.org.au/app/uploads/2025/04/2410-Principles-for-Digital-Platforms-Regulation-Report.pdf,https://drive.google.com/file/d/1IG-WT76QXnhqtQ3lVoiJuJlS4-GshCdD/view?usp=drive_link,Capacity building and collaboration: training courses workshops networks.,Data Protection and Privacy;  Data Sharing and Access;  Safety and Security;  Impact Assessments;  AI-Facilitated Misinformation and Violence,The HRLC report provides a human-rights framework for governing digital platforms that use AI for content recommendation moderation and data processing. It highlights privacy risks profiling safety harms misinformation amplification and the need for transparency and impact assessments. The recommendations guide civil society advocacy and regulatory reform advancing responsible AI use across major Trust and Safety domains.,Law Institute of Victoria – Ethical and Responsible Use of AI Guideline,https://web.archive.org/web/20251204085550/https://www.liv.asn.au/download.aspx?DocumentVersionKey=69158983-87f3-4c1d-be99-8c300b5c7afd,https://drive.google.com/file/d/1iKec1vei36wvKMsa2iDf21XdnNT9EJdO/view?usp=drive_link,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Data Protection and Privacy;  Safety and Security;  Consumer Protection,The LIV guideline sets best-practice standards for safe AI use in legal practice including obligations to protect client data assess AI accuracy and bias maintain transparency and ensure human oversight. It addresses privacy safeguards reliability risks and consumer protection in professional services. The guidance promotes responsible AI deployment and risk assessment across a high-stakes sector.,,,,,,,,,,,,
66-63-83-54,Austria,AUT,Europe,Western Europe,Developed,High income,"73911,44",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
